FID,OBJECTID,SHAPE,BEZIRK,STRNAM,ONRTXT,NUMMER,TELEFON,WEITERE_INFORMATION,SE_ANNO_CAD_DATA
HUNDESACKERLOGD.66344568,66344568,POINT (16.284332550808525 48.18667326603597),13,Kupelwiesergasse,ggü. 46,3256,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66344569,66344569,POINT (16.356950016708932 48.17088968906656),10,Gußriegelstraße,ggü. 45,3345,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66344570,66344570,POINT (16.363933861162256 48.15274615043489),10,Laxenburger Straße,# Per-Albin-Hansson-Straße,2306,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66344571,66344571,POINT (16.363550494412976 48.15911745745788),10,Sibeliusstraße,# Vivaldigasse,1012,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342296,66342296,POINT (16.3381571247393 48.23667486523393),19,Linneplatz,,1571,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342297,66342297,POINT (16.30844282776846 48.22331764237019),16,Kongresspark,,1570,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342298,66342298,POINT (16.386957165701464 48.23389423617907),20,Mortarapark (Hundezone),,894,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342299,66342299,POINT (16.38743062495079 48.23410189606721),20,Mortarapark (Hundezone),,895,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342300,66342300,POINT (16.317503238132076 48.24337544083066),19,Pisecpark,,1565,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342301,66342301,POINT (16.335333919728672 48.201549096450954),15,Märzpark,,670,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342302,66342302,POINT (16.334899930626573 48.202159380399216),15,Märzpark,,669,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342303,66342303,POINT (16.317223696608213 48.20296406430309),15,Auf der Schmelz,,662,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342304,66342304,POINT (16.319873084320296 48.20277972881269),15,Auf der Schmelz,,660,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342305,66342305,POINT (16.3196841320416 48.20218080144287),15,Auf der Schmelz,,661,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342306,66342306,POINT (16.393696667453145 48.163645349855805),10,PA Blauer Teich,,1717,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342307,66342307,POINT (16.381908250369218 48.18222732589877),10,Helmut-Zilk-Park,,1718,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342308,66342308,POINT (16.38354740664485 48.18036621182015),10,Helmut-Zilk-Park,,1719,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342309,66342309,POINT (16.38099520650726 48.17839393926911),10,Helmut-Zilk-Park,,1721,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342310,66342310,POINT (16.384377508903572 48.17880148167923),10,Helmut-Zilk-Park,,1720,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342311,66342311,POINT (16.39049563992777 48.22352402035288),2,Franziska-Löw-Park,,1715,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342312,66342312,POINT (16.31423188862058 48.15554834717651),23,PA Auer-Welsbach-Straße,,936,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342313,66342313,POINT (16.303801288510005 48.2139122618843),16,Karl-Kantner-Park,,611,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342314,66342314,POINT (16.414900869724722 48.18266718658397),11,Parkanlage Panoramaweg,,909,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342315,66342315,POINT (16.38600162838554 48.22519700384276),2,PA Trunnerstraße,,1517,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342316,66342316,POINT (16.425245535788267 48.15625116434536),11,PA Pretschgasse,,1725,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342317,66342317,POINT (16.439468632183065 48.272466644580554),21,PA Jerusalemgasse,,1728,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342318,66342318,POINT (16.330685900733446 48.22307664873712),17,Diepoldpark,,903,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342319,66342319,POINT (16.413282108067815 48.237174979261596),22,Donaupark,,1726,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342320,66342320,POINT (16.39201742789901 48.256144760639515),21,Floridsdorfer Aupark,,1727,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342321,66342321,POINT (16.38221214339026 48.179497178071344),10,Antonie-Alt-Gasse,,1524,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342322,66342322,POINT (16.33491947396666 48.19159750992524),15,PA Clementinengasse,,1716,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342323,66342323,POINT (16.3862095339355 48.17828992023194),10,Watzlawickweg,,1729,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342324,66342324,POINT (16.386325113775662 48.17821642361032),10,Watzlawickweg,,1730,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342325,66342325,POINT (16.386403468664223 48.1782153290657),10,Watzlawickweg,,1731,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
HUNDESACKERLOGD.66342326,66342326,POINT (16.388456353515203 48.17719349000546),10,Eva-Zilcher-Gasse,,1724,(01) 546 48,http://www.wien.gv.at/umwelt/ma48/sauberestadt/hundekotsackerl/index.html,
